DATE,PPIACO_NBD20200201
1999-04-01,62.83681
1999-05-01,63.39603
1999-06-01,63.65023
1999-07-01,63.90442
1999-08-01,64.51449
1999-09-01,65.07372
1999-10-01,64.92120
1999-11-01,65.22623
1999-12-01,64.97204
2000-01-01,65.22623
2000-02-01,65.98882
2000-03-01,66.49720
2000-04-01,66.44637
2000-05-01,66.90391
2000-06-01,68.02237
2000-07-01,67.97153
2000-08-01,67.56482
2000-09-01,68.47992
2000-10-01,68.83579
2000-11-01,68.63244
2000-12-01,69.24250
2001-01-01,71.17438
2001-02-01,69.85257
2001-03-01,69.08998
2001-04-01,69.34418
2001-05-01,69.54753
2001-06-01,68.88663
2001-07-01,67.81901
2001-08-01,67.81901
2001-09-01,67.76817
2001-10-01,66.24301
2001-11-01,65.98882
2001-12-01,65.12456
2002-01-01,65.32791
2002-02-01,65.27707
2002-03-01,65.98882
2002-04-01,66.49720
2002-05-01,66.49720
2002-06-01,66.54804
2002-07-01,66.70056
2002-08-01,66.85308
2002-09-01,67.25979
2002-10-01,67.71734
2002-11-01,67.66650
2002-12-01,67.56482
2003-01-01,68.78495
2003-02-01,69.95425
2003-03-01,71.78444
2003-04-01,69.54753
2003-05-01,69.49670
2003-06-01,70.15760
2003-07-01,70.00508
2003-08-01,70.15760
2003-09-01,70.41179
2003-10-01,70.81851
2003-11-01,70.61515
2003-12-01,70.92018
2004-01-01,71.88612
2004-02-01,72.24199
2004-03-01,72.75038
2004-04-01,73.61464
2004-05-01,74.63142
2004-06-01,74.83477
2004-07-01,74.93645
2004-08-01,75.24148
2004-09-01,75.08897
2004-10-01,76.25826
2004-11-01,76.97001
2004-12-01,76.35994
2005-01-01,76.71581
2005-02-01,77.07168
2005-03-01,78.13930
2005-04-01,78.80020
2005-05-01,78.44433
2005-06-01,78.44433
2005-07-01,79.46111
2005-08-01,80.12201
2005-09-01,82.46060
2005-10-01,84.49415
2005-11-01,83.22318
2005-12-01,82.86731
2006-01-01,83.52822
2006-02-01,82.25724
2006-03-01,82.46060
2006-04-01,83.52822
2006-05-01,84.29080
2006-06-01,84.44331
2006-07-01,84.79919
2006-08-01,85.35841
2006-09-01,84.08744
2006-10-01,82.46060
2006-11-01,83.68073
2006-12-01,84.18912
2007-01-01,83.37570
2007-02-01,84.79919
2007-03-01,86.07016
2007-04-01,87.13777
2007-05-01,88.10371
2007-06-01,88.35791
2007-07-01,89.01881
2007-08-01,87.64616
2007-09-01,88.20539
2007-10-01,88.81546
2007-11-01,91.00153
2007-12-01,90.79817
2008-01-01,92.01830
2008-02-01,92.88256
2008-03-01,95.52618
2008-04-01,97.05135
2008-05-01,99.94916
2008-06-01,101.93188
2008-07-01,104.47382
2008-08-01,101.16929
2008-09-01,100.10168
2008-10-01,94.76360
2008-11-01,89.88307
2008-12-01,86.88358
2009-01-01,87.03610
2009-02-01,86.07016
2009-03-01,85.46009
2009-04-01,85.96848
2009-05-01,86.83274
2009-06-01,88.51042
2009-07-01,87.69700
2009-08-01,88.96797
2009-09-01,88.51042
2009-10-01,89.06965
2009-11-01,90.18810
2009-12-01,90.54398
2010-01-01,92.47585
2010-02-01,92.01830
2010-03-01,93.18760
2010-04-01,93.74682
2010-05-01,93.95018
2010-06-01,93.28927
2010-07-01,93.59431
2010-08-01,94.00102
2010-09-01,94.00102
2010-10-01,94.86528
2010-11-01,95.42450
2010-12-01,96.44128
2011-01-01,97.96645
2011-02-01,99.54245
2011-03-01,101.27097
2011-04-01,103.25369
2011-05-01,103.76207
2011-06-01,103.66040
2011-07-01,104.01627
2011-08-01,103.30452
2011-09-01,103.55872
2011-10-01,102.23691
2011-11-01,102.38943
2011-12-01,101.57600
2012-01-01,102.03355
2012-02-01,102.49110
2012-03-01,103.81291
2012-04-01,103.55872
2012-05-01,102.64362
2012-06-01,101.57600
2012-07-01,101.72852
2012-08-01,103.05033
2012-09-01,103.91459
2012-10-01,103.45704
2012-11-01,102.59278
2012-12-01,102.44026
2013-01-01,102.94865
2013-02-01,103.86375
2013-03-01,103.71124
2013-04-01,103.45704
2013-05-01,103.76207
2013-06-01,103.86375
2013-07-01,103.91459
2013-08-01,103.81291
2013-09-01,103.66040
2013-10-01,102.94865
2013-11-01,102.28775
2013-12-01,102.69446
2014-01-01,103.60956
2014-02-01,104.57550
2014-03-01,105.23640
2014-04-01,105.89731
2014-05-01,105.74479
2014-06-01,105.89731
2014-07-01,105.74479
2014-08-01,105.23640
2014-09-01,104.93137
2014-10-01,103.40620
2014-11-01,102.13523
2014-12-01,100.15252
2015-01-01,97.61057
2015-02-01,97.15302
2015-03-01,97.35638
2015-04-01,97.05135
2015-05-01,98.32232
2015-06-01,99.03406
2015-07-01,98.57651
2015-08-01,97.55974
2015-09-01,96.13625
2015-10-01,95.32283
2015-11-01,94.40773
2015-12-01,93.28927
2016-01-01,92.83172
2016-02-01,92.17082
2016-03-01,92.57753
2016-04-01,93.13676
2016-05-01,94.20437
2016-06-01,95.37367
2016-07-01,95.42450
2016-08-01,94.86528
2016-09-01,95.01779
2016-10-01,94.91612
2016-11-01,94.71276
2016-12-01,95.67870
2017-01-01,96.94967
2017-02-01,97.40722
2017-03-01,97.35638
2017-04-01,98.11896
2017-05-01,98.01729
2017-06-01,98.42400
2017-07-01,98.37316
2017-08-01,98.52567
2017-09-01,99.03406
2017-10-01,99.08490
2017-11-01,99.59329
2017-12-01,99.79664
2018-01-01,100.61007
2018-02-01,101.32181
2018-03-01,101.32181
2018-04-01,101.83020
2018-05-01,103.30452
2018-06-01,103.81291
2018-07-01,103.86375
2018-08-01,103.40620
2018-09-01,103.50788
2018-10-01,104.01627
2018-11-01,102.84698
2018-12-01,102.18607
2019-01-01,101.22013
2019-02-01,101.27097
2019-03-01,102.08439
2019-04-01,102.74530
2019-05-01,102.54194
2019-06-01,101.83020
2019-07-01,102.03355
2019-08-01,101.27097
2019-09-01,100.86426
2019-10-01,100.96594
2019-11-01,101.16929
2019-12-01,101.16929
2020-01-01,101.32181
2020-02-01,100.00000
2020-03-01,98.16980
2020-04-01,94.30605
2020-05-01,95.88205
2020-06-01,97.20386
2020-07-01,98.11896
2020-08-01,98.77987
2020-09-01,99.38993
2020-10-01,99.89832
2020-11-01,100.81342
2020-12-01,101.93188
2021-01-01,104.11795
2021-02-01,107.06660
2021-03-01,109.30351
2021-04-01,110.77783
2021-05-01,114.33655
2021-06-01,116.37011
2021-07-01,117.86985
2021-08-01,118.66548
2021-09-01,119.81596
2021-10-01,122.24962
2021-11-01,123.68429
2021-12-01,122.69344
2022-01-01,125.29385
2022-02-01,128.44942
2022-03-01,132.18810
2022-04-01,134.88053
2022-05-01,138.91764
2022-06-01,142.47636
2022-07-01,138.42095
2022-08-01,137.03406
2022-09-01,136.19624
2022-10-01,134.75394
2022-11-01,133.78597
2022-12-01,131.12405
2023-01-01,132.28927
2023-02-01,131.51856
2023-03-01,130.66701
