"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1983-06","Jun-1983","IDX","Index","0","Units","2015_100","2015=100",16.6806,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1983-07","Jul-1983","IDX","Index","0","Units","2015_100","2015=100",16.80636,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1983-08","Aug-1983","IDX","Index","0","Units","2015_100","2015=100",16.89572,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1983-09","Sep-1983","IDX","Index","0","Units","2015_100","2015=100",16.97184,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1983-10","Oct-1983","IDX","Index","0","Units","2015_100","2015=100",17.11747,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1983-11","Nov-1983","IDX","Index","0","Units","2015_100","2015=100",17.17704,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1983-12","Dec-1983","IDX","Index","0","Units","2015_100","2015=100",17.25647,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1984-01","Jan-1984","IDX","Index","0","Units","2015_100","2015=100",17.37893,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1984-02","Feb-1984","IDX","Index","0","Units","2015_100","2015=100",17.45836,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1984-03","Mar-1984","IDX","Index","0","Units","2015_100","2015=100",17.58744,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1984-04","Apr-1984","IDX","Index","0","Units","2015_100","2015=100",17.70658,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1984-05","May-1984","IDX","Index","0","Units","2015_100","2015=100",17.76285,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1984-06","Jun-1984","IDX","Index","0","Units","2015_100","2015=100",17.87868,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1984-07","Jul-1984","IDX","Index","0","Units","2015_100","2015=100",17.90185,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1984-08","Aug-1984","IDX","Index","0","Units","2015_100","2015=100",17.90516,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1984-09","Sep-1984","IDX","Index","0","Units","2015_100","2015=100",17.97466,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1984-10","Oct-1984","IDX","Index","0","Units","2015_100","2015=100",17.99452,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1984-11","Nov-1984","IDX","Index","0","Units","2015_100","2015=100",18.12029,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1984-12","Dec-1984","IDX","Index","0","Units","2015_100","2015=100",18.25598,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1985-01","Jan-1985","IDX","Index","0","Units","2015_100","2015=100",18.43471,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1985-02","Feb-1985","IDX","Index","0","Units","2015_100","2015=100",18.65314,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1985-03","Mar-1985","IDX","Index","0","Units","2015_100","2015=100",18.75243,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1985-04","Apr-1985","IDX","Index","0","Units","2015_100","2015=100",18.8782,,
"MANM","Narrow Money (M1) Index, SA","USA","United States","M","Monthly","1985-05","May-1985","IDX","Index","0","Units","2015_100","2015=100",19.03375,,
