"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1983-05","May-1983","NATUSD","National currency per US dollar","0","Units",,,234.875,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1983-06","Jun-1983","NATUSD","National currency per US dollar","0","Units",,,240.0218,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1983-07","Jul-1983","NATUSD","National currency per US dollar","0","Units",,,240.4929,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1983-08","Aug-1983","NATUSD","National currency per US dollar","0","Units",,,244.363,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1983-09","Sep-1983","NATUSD","National currency per US dollar","0","Units",,,242.6705,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1983-10","Oct-1983","NATUSD","National currency per US dollar","0","Units",,,233.0128,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1983-11","Nov-1983","NATUSD","National currency per US dollar","0","Units",,,235.1187,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1983-12","Dec-1983","NATUSD","National currency per US dollar","0","Units",,,234.3868,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1984-01","Jan-1984","NATUSD","National currency per US dollar","0","Units",,,233.9516,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1984-02","Feb-1984","NATUSD","National currency per US dollar","0","Units",,,233.6419,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1984-03","Mar-1984","NATUSD","National currency per US dollar","0","Units",,,225.5195,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1984-04","Apr-1984","NATUSD","National currency per US dollar","0","Units",,,225.0235,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1984-05","May-1984","NATUSD","National currency per US dollar","0","Units",,,230.8129,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1984-06","Jun-1984","NATUSD","National currency per US dollar","0","Units",,,233.2171,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1984-07","Jul-1984","NATUSD","National currency per US dollar","0","Units",,,242.7195,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1984-08","Aug-1984","NATUSD","National currency per US dollar","0","Units",,,242.3044,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1984-09","Sep-1984","NATUSD","National currency per US dollar","0","Units",,,245.3055,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1984-10","Oct-1984","NATUSD","National currency per US dollar","0","Units",,,246.8945,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1984-11","Nov-1984","NATUSD","National currency per US dollar","0","Units",,,243.2857,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1984-12","Dec-1984","NATUSD","National currency per US dollar","0","Units",,,247.9671,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1985-01","Jan-1985","NATUSD","National currency per US dollar","0","Units",,,254.1263,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1985-02","Feb-1985","NATUSD","National currency per US dollar","0","Units",,,260.3395,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1985-03","Mar-1985","NATUSD","National currency per US dollar","0","Units",,,258.4373,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1985-04","Apr-1985","NATUSD","National currency per US dollar","0","Units",,,251.6714,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1985-05","May-1985","NATUSD","National currency per US dollar","0","Units",,,251.8557,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1985-06","Jun-1985","NATUSD","National currency per US dollar","0","Units",,,248.922,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1985-07","Jul-1985","NATUSD","National currency per US dollar","0","Units",,,241.6944,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1985-08","Aug-1985","NATUSD","National currency per US dollar","0","Units",,,237.2009,,
