DATE,DEXJPUS
1980-01-01,237.8886363636363636
1980-02-01,244.3500000000000000
1980-03-01,248.4785714285714286
1980-04-01,250.2750000000000000
1980-05-01,228.6285714285714286
1980-06-01,217.9176190476190476
1980-07-01,221.1363636363636364
1980-08-01,223.9138095238095238
1980-09-01,214.4166666666666667
1980-10-01,209.3227272727272727
1980-11-01,213.1058823529411765
1980-12-01,209.4886363636363636
1981-01-01,202.3666666666666667
1981-02-01,205.7166666666666667
1981-03-01,208.7918181818181818
1981-04-01,214.9759090909090909
1981-05-01,220.6285000000000000
1981-06-01,224.1804545454545455
1981-07-01,232.3260869565217391
1981-08-01,233.3261904761904762
1981-09-01,229.4809523809523810
1981-10-01,231.5190476190476190
1981-11-01,223.1266666666666667
1981-12-01,218.9545454545454545
1982-01-01,224.8050000000000000
1982-02-01,235.3055555555555556
1982-03-01,241.2282608695652174
1982-04-01,244.1068181818181818
1982-05-01,236.9635000000000000
1982-06-01,251.1977272727272727
1982-07-01,255.0309523809523810
1982-08-01,259.0454545454545455
1982-09-01,263.2857142857142857
1982-10-01,271.6150000000000000
1982-11-01,264.0878947368421053
1982-12-01,241.9413043478260870
1983-01-01,232.7309523809523810
1983-02-01,236.1210526315789474
1983-03-01,238.2543478260869565
1983-04-01,237.7466666666666667
1983-05-01,234.7557142857142857
1983-06-01,240.0313636363636364
1983-07-01,240.5160000000000000
1983-08-01,244.4613043478260870
1983-09-01,242.3461904761904762
1983-10-01,232.8855000000000000
1983-11-01,235.0300000000000000
1983-12-01,234.4623809523809524
1984-01-01,233.8000000000000000
1984-02-01,233.5963157894736842
1984-03-01,225.2663636363636364
1984-04-01,225.2000000000000000
1984-05-01,230.4777272727272727
1984-06-01,233.5657142857142857
1984-07-01,243.0676190476190476
1984-08-01,242.2608695652173913
1984-09-01,245.4568421052631579
1984-10-01,246.7545454545454545
1984-11-01,243.6305263157894737
1984-12-01,247.9640000000000000
1985-01-01,254.1828571428571429
1985-02-01,260.4777777777777778
1985-03-01,257.9204761904761905
1985-04-01,251.8454545454545455
1985-05-01,251.7295454545454545
1985-06-01,248.8400000000000000
1985-07-01,241.1363636363636364
1985-08-01,237.4609090909090909
1985-09-01,236.5275000000000000
1985-10-01,214.6804545454545455
1985-11-01,204.0736842105263158
1985-12-01,202.7880952380952381
1986-01-01,199.8904761904761905
1986-02-01,184.8515789473684211
1986-03-01,178.6938095238095238
1986-04-01,175.0918181818181818
1986-05-01,167.0314285714285714
1986-06-01,167.5419047619047619
1986-07-01,158.6059090909090909
1986-08-01,154.1771428571428571
1986-09-01,154.7314285714285714
1986-10-01,156.4722727272727273
1986-11-01,162.8494444444444444
1986-12-01,162.0522727272727273
1987-01-01,154.8295000000000000
1987-02-01,153.4068421052631579
1987-03-01,151.4331818181818182
1987-04-01,142.8986363636363636
1987-05-01,140.4790000000000000
1987-06-01,144.5495454545454545
1987-07-01,150.2939130434782609
1987-08-01,147.3342857142857143
1987-09-01,143.2909523809523810
1987-10-01,143.3200000000000000
1987-11-01,135.3973684210526316
1987-12-01,128.2418181818181818
1988-01-01,127.6852631578947368
1988-02-01,129.1665000000000000
1988-03-01,127.1139130434782609
1988-04-01,124.8976190476190476
1988-05-01,124.7871428571428571
1988-06-01,127.4654545454545455
1988-07-01,133.0215000000000000
1988-08-01,133.7660869565217391
1988-09-01,134.3176190476190476
1988-10-01,128.6805000000000000
1988-11-01,123.2020000000000000
1988-12-01,123.6076190476190476
1989-01-01,127.3625000000000000
1989-02-01,127.7373684210526316
1989-03-01,130.5504347826086957
1989-04-01,132.0365000000000000
1989-05-01,137.8636363636363636
1989-06-01,143.9809090909090909
1989-07-01,140.4240000000000000
1989-08-01,141.4852173913043478
1989-09-01,145.0700000000000000
1989-10-01,142.2066666666666667
1989-11-01,143.5342857142857143
1989-12-01,143.6850000000000000
1990-01-01,144.9819047619047619
1990-02-01,145.6931578947368421
1990-03-01,153.3081818181818182
1990-04-01,158.4585714285714286
1990-05-01,154.0440909090909091
1990-06-01,153.6957142857142857
1990-07-01,149.0395238095238095
1990-08-01,147.4608695652173913
1990-09-01,138.4405263157894737
1990-10-01,129.5909090909090909
1990-11-01,129.2155000000000000
1990-12-01,133.8890000000000000
1991-01-01,133.6985714285714286
1991-02-01,130.5357894736842105
1991-03-01,137.3866666666666667
1991-04-01,137.1127272727272727
1991-05-01,138.2218181818181818
1991-06-01,139.7475000000000000
1991-07-01,137.8300000000000000
1991-08-01,136.8163636363636364
1991-09-01,134.2995000000000000
1991-10-01,130.7722727272727273
1991-11-01,129.6321052631578947
1991-12-01,128.0395238095238095
1992-01-01,125.4614285714285714
1992-02-01,127.6989473684210526
1992-03-01,132.8627272727272727
1992-04-01,133.5395454545454545
1992-05-01,130.7710000000000000
1992-06-01,126.8354545454545455
1992-07-01,125.8817391304347826
1992-08-01,126.2309523809523810
1992-09-01,122.5966666666666667
1992-10-01,121.1652380952380952
1992-11-01,123.8800000000000000
1992-12-01,124.0409090909090909
1993-01-01,124.9931578947368421
1993-02-01,120.7594736842105263
1993-03-01,117.0173913043478261
1993-04-01,112.4113636363636364
1993-05-01,110.3430000000000000
1993-06-01,107.4118181818181818
1993-07-01,107.6914285714285714
1993-08-01,103.7650000000000000
1993-09-01,105.5747619047619048
1993-10-01,107.0200000000000000
1993-11-01,107.8765000000000000
1993-12-01,109.9130434782608696
1994-01-01,111.4415000000000000
1994-02-01,106.3010526315789474
1994-03-01,105.0973913043478261
1994-04-01,103.4842857142857143
1994-05-01,103.7533333333333333
1994-06-01,102.5263636363636364
