"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1992-08","Aug-1992","PC","Percentage","0","Units",,,5.112,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1992-09","Sep-1992","PC","Percentage","0","Units",,,5.021,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1992-10","Oct-1992","PC","Percentage","0","Units",,,5.015,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1992-11","Nov-1992","PC","Percentage","0","Units",,,4.868,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1992-12","Dec-1992","PC","Percentage","0","Units",,,4.848,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1993-01","Jan-1993","PC","Percentage","0","Units",,,4.723,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1993-02","Feb-1993","PC","Percentage","0","Units",,,4.409,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1993-03","Mar-1993","PC","Percentage","0","Units",,,4.318,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1993-04","Apr-1993","PC","Percentage","0","Units",,,4.593,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1993-05","May-1993","PC","Percentage","0","Units",,,4.943,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1993-06","Jun-1993","PC","Percentage","0","Units",,,4.836,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1993-07","Jul-1993","PC","Percentage","0","Units",,,4.517,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1993-08","Aug-1993","PC","Percentage","0","Units",,,4.407,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1993-09","Sep-1993","PC","Percentage","0","Units",,,4.016,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1993-10","Oct-1993","PC","Percentage","0","Units",,,3.931,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1993-11","Nov-1993","PC","Percentage","0","Units",,,3.762,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1993-12","Dec-1993","PC","Percentage","0","Units",,,3.396,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1994-01","Jan-1994","PC","Percentage","0","Units",,,3.597,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1994-02","Feb-1994","PC","Percentage","0","Units",,,4.041,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1994-03","Mar-1994","PC","Percentage","0","Units",,,4.453,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1994-04","Apr-1994","PC","Percentage","0","Units",,,4.093,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1994-05","May-1994","PC","Percentage","0","Units",,,3.984,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1994-06","Jun-1994","PC","Percentage","0","Units",,,4.278,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1994-07","Jul-1994","PC","Percentage","0","Units",,,4.531,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1994-08","Aug-1994","PC","Percentage","0","Units",,,4.778,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1994-09","Sep-1994","PC","Percentage","0","Units",,,4.642,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1994-10","Oct-1994","PC","Percentage","0","Units",,,4.684,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1994-11","Nov-1994","PC","Percentage","0","Units",,,4.718,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1994-12","Dec-1994","PC","Percentage","0","Units",,,4.561,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1995-01","Jan-1995","PC","Percentage","0","Units",,,4.605,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1995-02","Feb-1995","PC","Percentage","0","Units",,,4.515,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1995-03","Mar-1995","PC","Percentage","0","Units",,,4.113,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1995-04","Apr-1995","PC","Percentage","0","Units",,,3.545,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1995-05","May-1995","PC","Percentage","0","Units",,,3.386,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1995-06","Jun-1995","PC","Percentage","0","Units",,,3.024,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1995-07","Jul-1995","PC","Percentage","0","Units",,,2.933,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1995-08","Aug-1995","PC","Percentage","0","Units",,,3.215,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1995-09","Sep-1995","PC","Percentage","0","Units",,,3.03,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1995-10","Oct-1995","PC","Percentage","0","Units",,,2.925,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1995-11","Nov-1995","PC","Percentage","0","Units",,,3.048,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1995-12","Dec-1995","PC","Percentage","0","Units",,,2.983,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1996-01","Jan-1996","PC","Percentage","0","Units",,,3.12,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1996-02","Feb-1996","PC","Percentage","0","Units",,,3.271,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1996-03","Mar-1996","PC","Percentage","0","Units",,,3.299,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1996-04","Apr-1996","PC","Percentage","0","Units",,,3.301,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1996-05","May-1996","PC","Percentage","0","Units",,,3.388,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1996-06","Jun-1996","PC","Percentage","0","Units",,,3.252,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1996-07","Jul-1996","PC","Percentage","0","Units",,,3.294,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1996-08","Aug-1996","PC","Percentage","0","Units",,,3.209,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1996-09","Sep-1996","PC","Percentage","0","Units",,,2.928,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1996-10","Oct-1996","PC","Percentage","0","Units",,,2.8,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1996-11","Nov-1996","PC","Percentage","0","Units",,,2.759,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1996-12","Dec-1996","PC","Percentage","0","Units",,,2.597,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1997-01","Jan-1997","PC","Percentage","0","Units",,,2.632,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1997-02","Feb-1997","PC","Percentage","0","Units",,,2.583,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1997-03","Mar-1997","PC","Percentage","0","Units",,,2.524,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1997-04","Apr-1997","PC","Percentage","0","Units",,,2.382,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1997-05","May-1997","PC","Percentage","0","Units",,,2.736,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1997-06","Jun-1997","PC","Percentage","0","Units",,,2.684,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1997-07","Jul-1997","PC","Percentage","0","Units",,,2.505,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1997-08","Aug-1997","PC","Percentage","0","Units",,,2.354,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1997-09","Sep-1997","PC","Percentage","0","Units",,,2.21,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1997-10","Oct-1997","PC","Percentage","0","Units",,,1.994,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1997-11","Nov-1997","PC","Percentage","0","Units",,,1.941,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1997-12","Dec-1997","PC","Percentage","0","Units",,,1.939,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1998-01","Jan-1998","PC","Percentage","0","Units",,,1.948,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1998-02","Feb-1998","PC","Percentage","0","Units",,,2,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1998-03","Mar-1998","PC","Percentage","0","Units",,,1.855,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1998-04","Apr-1998","PC","Percentage","0","Units",,,1.867,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1998-05","May-1998","PC","Percentage","0","Units",,,1.655,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1998-06","Jun-1998","PC","Percentage","0","Units",,,1.54,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1998-07","Jul-1998","PC","Percentage","0","Units",,,1.683,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1998-08","Aug-1998","PC","Percentage","0","Units",,,1.502,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1998-09","Sep-1998","PC","Percentage","0","Units",,,1.103,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1998-10","Oct-1998","PC","Percentage","0","Units",,,0.879,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1998-11","Nov-1998","PC","Percentage","0","Units",,,0.977,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1998-12","Dec-1998","PC","Percentage","0","Units",,,1.488,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1999-01","Jan-1999","PC","Percentage","0","Units",,,1.91,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1999-02","Feb-1999","PC","Percentage","0","Units",,,2.117,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1999-03","Mar-1999","PC","Percentage","0","Units",,,1.816,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1999-04","Apr-1999","PC","Percentage","0","Units",,,1.563,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1999-05","May-1999","PC","Percentage","0","Units",,,1.334,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1999-06","Jun-1999","PC","Percentage","0","Units",,,1.632,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1999-07","Jul-1999","PC","Percentage","0","Units",,,1.703,,
